Name,Affix Type,Lvl,Reroll %,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7,Tier8
Damage Over Time for Minions,Suffix,48,50%,+(10% to 20%),+(21% to 30%),+(31% to 40%),+(41% to 50%),+(51% to 70%),+(90% to 110%),+(111% to 140%),+(224% to 280%)
Damage Over Time While Transformed,Prefix,41,89%,+(30% to 33%),+(34% to 37%),+(38% to 42%),+(43% to 47%),+(48% to 57%),+(70% to 85%),+(86% to 105%),+(168% to 210%)
Damage Reflected,Prefix,23,60%,(5% to 10%),(11% to 19%),(20% to 28%),(29% to 38%),(39% to 50%),(70% to 80%),(81% to 100%),(160% to 200%)
Damage Reflected to Attackers,Prefix,4,60%,(10 to 15),(20 to 30),(40 to 55),(60 to 80),(90 to 150),(250 to 300),(301 to 400),(640 to 800)
Damage Taken on Block,Suffix,0,40%,4%,5%,6%,(7% to 8%),(9% to 10%),(13% to 14%),(15% to 17%),(25% to 30%)
Damage to Minions Reflected to Attackers,Prefix,25,89%,5%,6%,7%,8%,(9% to 11%),(14% to 17%),(18% to 22%),(35% to 44%)
Damage while Channelling,Prefix,38,60%,+(6% to 12%),+(13% to 21%),+(22% to 30%),+(31% to 39%),+(40% to 60%),+(75% to 95%),+(96% to 120%),+(192% to 240%)
Death Grip Champion's | Ward per Second | Current Health converted to Ward when you directly cast a Necrotic Spell,Prefix,0,0%,+(5 to 7) | +1%,+(8 to 10) | +2%,+(13 to 15) | +2%,+(16 to 19) | +3%,+(20 to 24) | +4%,+(30 to 35) | +5%,+(36 to 48) | +6%,+(77 to 96) | +(10% to 12%)
Defiance of the Forgotten Knight Reforged | Void Damage | Void Damage Taken on Block,Prefix,0,0%,+(30% to 33%) | (5% to 6%),+(34% to 38%) | (7% to 9%),+(39% to 44%) | (10% to 13%),+(45% to 51%) | (14% to 18%),+(52% to 60%) | (19% to 25%),+(80% to 99%) | (30% to 39%),+(100% to 120%) | (40% to 50%),+(192% to 240%) | (60% to 75%)
Dexterity,Prefix,0,70%,+1,+2,+(3 to 4),+(5 to 6),+(7 to 8),+(11 to 13),+(14 to 16),+(24 to 28)
Dodge Rating,Suffix,0,0%,+(20 to 29),+(30 to 39),+(40 to 49),+(50 to 65),+(66 to 85),+(110 to 150),+(151 to 200),+(320 to 400)
Dodge Rating,Suffix,16,60%,+(10% to 14%),+(15% to 19%),+(20% to 24%),+(25% to 29%),+(30% to 38%),+(55% to 65%),+(66% to 80%),+(130% to 160%)
Dodge Rating if Hit Recently,Prefix,25,89%,+(60 to 72),+(73 to 85),+(86 to 100),+(101 to 120),+(121 to 160),+(210 to 270),+(271 to 360),+(576 to 720)
Dodge while Evading and Increased Dodge Rating,Suffix,35,60%,+(81 to 120) | +(9% to 12%),+(121 to 175) | +(13% to 17%),+(176 to 250) | +(18% to 22%),+(251 to 325) | +(23% to 28%),+(326 to 425) | +(29% to 35%),+(550 to 700) | +(45% to 57%),+(701 to 900) | +(58% to 72%),+(1440 to 1800) | +(115% to 144%)
Elemental Damage,Prefix,8,0%,+(5% to 9%),+(10% to 16%),+(17% to 24%),+(25% to 32%),+(33% to 45%),+(55% to 70%),+(71% to 90%),+(144% to 180%)
Elemental Damage Over Time,Prefix,50,70%,+(10% to 20%),+(21% to 35%),+(36% to 50%),+(51% to 70%),+(71% to 110%),+(140% to 170%),+(171% to 220%),+(352% to 440%)
Elemental Resistance,Suffix,27,30%,+(4% to 5%),+(6% to 8%),+(9% to 11%),+(12% to 15%),+(16% to 20%),+(24% to 30%),+(31% to 40%),+(64% to 75%)
Endurance,Suffix,19,15%,+(3% to 4%),+(5% to 6%),+(7% to 8%),+(9% to 10%),+(11% to 15%),+(20% to 26%),+(27% to 35%),+(56% to 70%)
Endurance Threshold,Suffix,24,15%,+(20 to 26),+(27 to 35),+(36 to 45),+(46 to 59),+(60 to 80),+(110 to 150),+(151 to 200),+(320 to 400)
Endurance while Channelling Warpath,Prefix,5,89%,(7% to 10%),(11% to 14%),(15% to 18%),(19% to 23%),(24% to 30%),(33% to 36%),(37% to 40%),(65% to 80%)
