Name,Affix Type,Lvl,Reroll %,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7,Tier8
Minion Melee and Spell Damage,Suffix,18,55%,+(3 to 4) | +(3 to 4),+(5 to 6) | +(5 to 6),+(7 to 9) | +(7 to 9),+(10 to 12) | +(10 to 12),+(13 to 17) | +(13 to 17),+(21 to 25) | +(21 to 25),+(26 to 32) | +(26 to 32),+(45 to 56) | +(45 to 56)
Minion Melee Damage Leeched As Health,Prefix,29,89%,+(4% to 4.9%),+(5% to 5.9%),+(6% to 6.9%),+(7% to 7.9%),+(8% to 11%),+(13.5% to 16%),+(16.1% to 21%),+(33.6% to 42%)
Minion Spell and Bow Damage,Suffix,22,70%,+(3 to 4) | +(3 to 4),+(5 to 6) | +(5 to 6),+(7 to 9) | +(7 to 9),+(10 to 12) | +(10 to 12),+(13 to 17) | +(13 to 17),+(21 to 25) | +(21 to 25),+(26 to 32) | +(26 to 32),+(45 to 56) | +(45 to 56)
Minion Spell Critical Strike Chance,Prefix,41,89%,+(30% to 33%),+(34% to 37%),+(38% to 42%),+(43% to 47%),+(48% to 57%),+(70% to 85%),+(86% to 105%),+(168% to 210%)
Mirage Champion's | Dodge Rating | Maximum Shadows,Prefix,0,0%,+(25 to 35) | +1,+(36 to 52) | +1,+(53 to 70) | +1,+(71 to 90) | +1,+(91 to 115) | +1,+(135 to 160) | +1,+(161 to 200) | +1,+(320 to 400) | +2
Mirages and Mana Efficiency with Lethal Mirage,Prefix,50,89%,+1 | +(10% to 13%),+1 | +(14% to 17%),+1 | +(18% to 21%),+1 | +(22% to 25%),+1 | +(26% to 30%),+2 | +(38% to 46%),+2 | +(47% to 60%),+3 | +(96% to 120%)
Movement Speed,Prefix,0,0%,+(5% to 7%),+(8% to 9%),+(10% to 11%),+(12% to 14%),+(15% to 18%),+(22% to 25%),+(26% to 30%),+(43% to 48%)
Necrotic Damage,Prefix,6,0%,+(6% to 12%),+(13% to 21%),+(22% to 30%),+(31% to 39%),+(40% to 60%),+(75% to 95%),+(96% to 120%),+(192% to 240%)
Necrotic Damage Taken as Physical,Prefix,34,89%,+(18% to 19%),+(20% to 21%),+(22% to 23%),+(24% to 25%),+(26% to 30%),+(36% to 44%),+(45% to 55%),+(88% to 100%)
Necrotic Damage while Transformed,Prefix,25,89%,+(45% to 51%),+(52% to 58%),+(59% to 65%),+(66% to 72%),+(73% to 90%),+(110% to 130%),+(131% to 160%),+(256% to 320%)
Necrotic Penetration,Prefix,42,70%,+4%,+5%,+6%,+7%,+(8% to 9%),+(11% to 12%),+(13% to 15%),+(24% to 30%)
Necrotic Penetration and Minion Necrotic Penetration,Suffix,60,85%,+3%+3%,+4%+4%,+(5% to 6%) | +(5% to 6%),+(7% to 8%) | +(7% to 8%),+(9% to 12%) | +(9% to 12%),+(15% to 18%) | +(15% to 18%),+(19% to 22%) | +(19% to 22%),+(35% to 44%) | +(35% to 44%)
Necrotic Resistance,Suffix,19,0%,+(5% to 9%),+(10% to 14%),+(15% to 21%),+(22% to 29%),+(30% to 45%),+(50% to 60%),+(61% to 75%),+(120% to 150%)
of the Last Hermit | Health Gained on Potion Use | Potion Health Converted to Ward,Suffix,0,0%,(15 to 20) | 100%,(20 to 29) | 100%,(30 to 45) | 100%,(46 to 65) | 100%,(66 to 100) | 100%,(200 to 245) | 100%,(246 to 350) | 100%,(560 to 700) | (160% to 200%)
