Name,Affix Type,Lvl,Reroll %,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7,Tier8
Increased Hammer Throw Damage,Prefix,4,89%,(30% to 33%),(34% to 37%),(38% to 42%),(43% to 47%),(48% to 58%),(70% to 85%),(86% to 105%),(168% to 210%)
Increased Healing Effectiveness,Prefix,15,0%,(10% to 18%),(19% to 27%),(28% to 37%),(38% to 47%),(48% to 60%),(75% to 95%),(96% to 120%),(200% to 240%)
Increased Leech Rate,Suffix,0,80%,(12% to 17%),(18% to 23%),(24% to 29%),(30% to 35%),(36% to 45%),(55% to 70%),(71% to 100%),(160% to 200%)
Increased Physical Damage And Bleed Duration,Prefix,60,89%,+(25% to 28%) | 15%,+(29% to 32%) | 16%,+(33% to 36%) | (17% to 18%),+(37% to 40%) | (19% to 20%),+(41% to 50%) | (21% to 24%),+(60% to 70%) | (28% to 34%),+(71% to 90%) | (35% to 42%),+(144% to 180%) | (67% to 84%)
Increased Poison Duration,Prefix,55,89%,7%,8%,(9% to 10%),(11% to 12%),(13% to 16%),(20% to 24%),(25% to 30%),(48% to 60%)
Increased Projectile Speed With Marrow Shards And Bone Nova,Prefix,45,89%,+(12% to 13%) | +(12% to 13%),+(14% to 15%) | +(14% to 15%),+(16% to 17%) | +(16% to 17%),+(18% to 19%) | +(18% to 19%),+(20% to 25%) | +(20% to 25%),+(30% to 36%) | +(30% to 36%),+(37% to 46%) | +(37% to 46%),+(74% to 92%) | +(74% to 92%)
Increased Shield Throw Critical Strike Chance,Prefix,18,89%,(45% to 51%),(52% to 58%),(59% to 65%),(66% to 72%),(73% to 95%),(115% to 140%),(141% to 180%),(288% to 360%)
Increased Skeletal Mage Damage,Prefix,45,89%,(25% to 38%),(39% to 52%),(53% to 66%),(67% to 80%),(81% to 95%),(115% to 140%),(141% to 180%),(288% to 360%)
Increased Smelters Wrath Damage,Prefix,50,89%,(30% to 33%),(34% to 37%),(38% to 42%),(43% to 47%),(48% to 58%),(70% to 85%),(86% to 105%),(168% to 210%)
increased Speed and Distance with Flame Rush,Prefix,26,89%,(5% to 6%),(7% to 9%),(10% to 12%),(13% to 15%),(16% to 20%),(26% to 30%),(31% to 38%),(61% to 76%)
Increased Spell Crit (Doubled if you have over 300 Max Mana),Prefix,48,89%,(30% to 33%),(34% to 37%),(38% to 42%),(43% to 47%),(48% to 58%),(70% to 85%),(86% to 105%),(168% to 210%)
Increased Spell Damage per Skeletal Mage,Prefix,25,89%,(14% to 16%),(17% to 19%),(20% to 22%),(23% to 25%),(26% to 33%),(40% to 50%),(51% to 65%),(104% to 130%)
Increased Spirit Frequency with Chthonic Fissure,Prefix,13,89%,+(6% to 11%),+(12% to 17%),+(18% to 23%),+(24% to 29%),+(30% to 35%),+(36% to 52%),+(53% to 70%),+(112% to 140%)
Increased Stun Chance,Suffix,0,0%,(15% to 25%),(26% to 35%),(36% to 45%),(46% to 60%),(61% to 80%),(100% to 130%),(131% to 170%),(272% to 340%)
Increased Stun Chance with Melee Attacks,Suffix,0,0%,(40% to 55%),(56% to 75%),(76% to 95%),(96% to 115%),(116% to 140%),(180% to 220%),(221% to 280%),(448% to 560%)
Increased Void Damage And Added Spell Void Damage,Prefix,53,89%,+(30% to 33%) | +4,+(34% to 37%) | +4,+(38% to 41%) | +5,+(42% to 46%) | +5,+(47% to 60%) | +(6 to 7),+(70% to 85%) | +(9 to 11),+(86% to 110%) | +(12 to 14),+(176% to 220%) | +(22 to 28)
Infernal Champion's | Minion Damage | Minions teleported around you after you use a Traversal Skill,Prefix,0,0%,+(5% to 10%) | 2,+(11% to 16%) | 3,+(22% to 27%) | 3,+(28% to 39%) | 4,+(40% to 55%) | 5,+(70% to 89%) | 7,+(90% to 110%) | 8,+(176% to 220%) | (13 to 16)
Intelligence,Prefix,0,0%,+1,+2,+(3 to 4),+(5 to 6),+(7 to 8),+(11 to 13),+(14 to 16),+(24 to 28)
Isadora's Gravechill Reforged | Health | Spell Cold Damage,Suffix,0,0%,+(4 to 9) | +1,+(10 to 16) | +2,+(17 to 24) | +3,+(25 to 32) | +4,+(33 to 40) | +5,+(60 to 69) | +(6 to 7),+(70 to 82) | +(8 to 10),+(125 to 148) | +(12 to 15)
Isadora's Revenge Reforged | Necrotic Penetration | Stun Avoidance,Suffix,0,0%,+2% | +(50 to 65),+3% | +(66 to 82),+4% | +(83 to 100),+5% | +(101 to 119),+6% | +(120 to 150),+(8% to 9%) | +(200 to 239),+(10% to 12%) | +(240 to 300),+(19% to 24%) | +(480 to 600)
Isadora's Tomb Binding Reforged | Armor | Increased Necrotic Damage if you have been Hit Recently,Suffix,0,0%,+(6% to 7%) | (11% to 14%),+(8% to 9%) | (15% to 19%),+(10% to 11%) | (20% to 25%),+(12% to 13%) | (26% to 32%),+(14% to 15%) | (33% to 40%),+(18% to 24%) | (50% to 63%),+(25% to 35%) | (64% to 80%),+(56% to 70%) | (128% to 160%)
Julra's | Spell Void Damage | Chance to cast Void Rift on Kill,Prefix,0,0%,+2 | (4% to 5%),+3 | (6% to 7%),+4 | (8% to 10%),+5 | (11% to 13%),+6 | (14% to 16%),+8 | (18% to 20%),+(9 to 10) | (21% to 25%),+(16 to 20) | (40% to 50%)
Last Gift of the Mountain Reforged | Increased cold spell damage if you have directly cast a physical spell recently | Chance to Shred Armor on Spell Hit,Prefix,0,0%,(15% to 16%) | +(20% to 23%),(17% to 19%) | +(24% to 28%),(20% to 23%) | +(29% to 34%),(24% to 28%) | +(35% to 41%),(29% to 35%) | +(42% to 50%),(50% to 59%) | +(70% to 84%),(60% to 70%) | +(85% to 100%),(112% to 140%) | +(160% to 200%)
Level of Abyssal Echoes,Prefix,30,86%,+1 | +(8% to 15%),+1 | +(16% to 30%),+1 | +(31% to 45%),+1 | +(46% to 60%),+2 | +(61% to 90%),+3 | +(106% to 120%),+4 | +(121% to 150%),+6 | +(240% to 300%)
Level of Acid Flask,Prefix,4,86%,+1 | +(3% to 4%),+1 | +(5% to 6%),+1 | +(7% to 9%),+1 | +(10% to 12%),+2 | +(13% to 16%),+3 | +(20% to 24%),+4 | +(25% to 30%),+6 | +(46% to 53%)
Level of Aerial Assault,Prefix,25,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Anomaly,Prefix,50,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Arcane Ascendance,Prefix,40,86%,+1 | +(8 to 12),+1 | +(13 to 18),+1 | +(19 to 24),+1 | +(25 to 30),+2 | +(31 to 38),+3 | +(45 to 51),+4 | +(52 to 60),+6 | +(96 to 120)
Level of Assemble Abomination,Prefix,60,86%,+1 | +(10% to 20%),+1 | +(21% to 40%),+1 | +(41% to 60%),+1 | +(61% to 80%),+2 | +(81% to 120%),+3 | +(142% to 160%),+4 | +(161% to 200%),+6 | +(350% to 400%)
Level of Aura Of Decay,Prefix,30,86%,+1 | +(3% to 6%),+1 | +(7% to 11%),+1 | +(12% to 17%),+1 | +(18% to 23%),+2 | +(24% to 30%),+3 | +(40% to 50%),+4 | +(51% to 60%),+6 | +(96% to 120%)
Level of Avalanche,Prefix,40,86%,+1 | +(5% to 10%),+1 | +(11% to 20%),+1 | +(21% to 30%),+1 | +(31% to 40%),+2 | +(41% to 60%),+3 | +(71% to 80%),+4 | +(81% to 100%),+6 | +(160% to 200%)
Level of Ballista,Prefix,17,86%,+1 | (3% to 5%),+1 | (6% to 8%),+1 | (9% to 12%),+1 | (13% to 16%),+2 | (17% to 20%),+3 | (21% to 24%),+4 | (25% to 30%),+6 | (40% to 48%)
