Name,Affix Type,Reroll %,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7
Void Resistance and Minion Void Resistance,Suffix,0%,+(9% to 12%) | +(9% to 12%),,,,,-,-
Void Resistance and Minion Void Resistance,Suffix,0%,+(18% to 23%) | +(18% to 23%),,,,,-,-
Volatile Zombie Damage and Explosion Area,Prefix,0%,(15% to 35%) | (15% to 35%),,,,,-,-
Ward and Ward Decay Threshold on Potion Use,Prefix,0%,(15 to 25) | +(35 to 60),,,,,-,-
Ward Decay Threshold and Ward Gained on Evade,Suffix,0%,+(1 to 2) | +(1 to 3),+(3 to 5) | +(4 to 6),+(6 to 8) | +(7 to 11),+(9 to 11) | +(12 to 17),+(12 to 15) | +(18 to 25),+(20 to 24) | +(30 to 38),+(25 to 30) | +(39 to 50)
Ward decay threshold and Ward per second,Suffix,65%,+(1 to 2) | +(1 to 2),+(3 to 4) | +(3 to 4),+(5 to 6) | +(5 to 6),+(7 to 8) | +(7 to 8),+(9 to 10) | +(9 to 10),+(12 to 15) | +(12 to 15),+(16 to 20) | +(16 to 20)
Ward Gained On Kill,Suffix,0%,(5 to 13),,,,,-,-
Ward Gained on use with Shift,Suffix,0%,+(17 to 45),,,,,-,-
Ward Gained on use with Smoke Bomb,Prefix,0%,(22 to 60),,,,,-,-
Ward gained per Rune consumed with Runic Invocation,Prefix,0%,+(14 to 40),,,,,-,-
Ward Gained When Damage Leaves You At Low Health (5 Second Cooldown),Prefix,0%,(35 to 100),,,,,-,-
Ward Gained when you create a Shadow,Suffix,0%,(5 to 15),,,,,-,-
Ward Gained when you use Enchant Weapon and Increased Melee Elemental Damage,Suffix,0%,(20 to 29) | +(1% to 2%),(30 to 42) | +(3% to 4%),(43 to 56) | +(5% to 6%),(57 to 72) | +(7% to 8%),(73 to 95) | +(9% to 10%),(110 to 150) | +(12% to 15%),(151 to 200) | +(16% to 20%)
Ward Granted When Casting Flame Ward,Prefix,0%,+(42 to 96),,,,,-,-
Ward On Potion Use,Prefix,0%,(30 to 80),,,,,-,-
Ward Per Second,Suffix,0%,+(12 to 40),,,,,-,-
Ward Per Second and Increased Health,Prefix,0%,+(3 to 6) | +(3% to 9%),,,,,-,-
Ward Per Second and Ward Retention,Suffix,0%,+(12 to 16) | +(8% to 14%),,,,,-,-
Ward per Second during Profane Veil,Prefix,0%,+(47 to 146),,,,,-,-
Ward per Second for you or your allies while standing on your Glyph of Dominion,Prefix,0%,+(15 to 50),,,,,-,-
Ward per Second while channeling Ghostflame,Prefix,0%,+(33 to 113),,,,,-,-
Ward Retention,Prefix,0%,+(13% to 30%),,,,,-,-
Ward Retention,Suffix,0%,+(13% to 30%),,,,,-,-
Ward Retention and Ward Per Second,Prefix,0%,+(5% to 7%) | +(5 to 8),,,,,-,-
