Name,Affix Type,Reroll %,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7
Chance to Summon a Bee with Acid Flask,Prefix,90%,(10% to 28%),,,,,-,-
Cold and Lightning Damage,Suffix,0%,+(18% to 48%) | +(18% to 48%),,,,,-,-
Cold Damage Over Time,Suffix,0%,+(30% to 75%),,,,,-,-
Cold Damage Taken as Physical,Prefix,0%,+(8% to 20%),,,,,-,-
Cold Penetration and Minion Cold Penetration,Prefix,0%,+(1% to 2%) | +(1% to 2%),,,,,-,-
Cold Penetration and Minion Cold Penetration,Prefix,0%,+(3% to 4%) | +(3% to 4%),,,,,-,-
Cold Penetration with Frostbite,Prefix,0%,(13% to 35%),,,,,-,-
Cold Resistance,Suffix,0%,+(20% to 45%),,,,,-,-
Cold Resistance and Minion Cold Resistance,Suffix,0%,+(9% to 12%) | +(9% to 12%),,,,,-,-
Cold Resistance and Minion Cold Resistance,Suffix,0%,+(18% to 23%) | +(18% to 23%),,,,,-,-
Companion Revive Speed and Increased Minion Health,Suffix,0%,(1% to 2%) | +(2% to 4%),(3% to 4%) | +(5% to 7%),(5% to 6%) | +(8% to 10%),(7% to 8%) | +(11% to 14%),(9% to 10%) | +(15% to 20%),(12% to 15%) | +(25% to 31%),(16% to 20%) | +(32% to 40%)
Crimson Shroud duration and additional bleed chance per crimson shroud,Suffix,0%,1%+1%,2%+2%,3%+3%,4%+4%,5%+5%,(6% to 7%) | +(6% to 7%),(8% to 10%) | +(8% to 10%)
Critical Stike Avoidance and Increased Critical Strike Chance,Suffix,0%,+(2% to 4%) | +(5% to 15%),,,,,-,-
Critical Strike Avoidance for You and Your Minions,Suffix,0%,+(15% to 40%) | +(15% to 40%),,,,,-,-
Critical Strike Chance,Prefix,0%,+(20% to 55%),,,,,-,-
Critical Strike Chance For Skeletons And Skeletal Mages,Prefix,0%,+(1% to 3%) | +(1% to 3%),,,,,-,-
Critical Strike Chance for Totems,Prefix,0%,+(2% to 4%),,,,,-,-
Critical Strike Chance For You And Your Minions,Suffix,0%,+(15% to 40%) | +(15% to 40%),,,,,-,-
Critical Strike Chance With Lightning Skills,Prefix,0%,+(22% to 60%),,,,,-,-
Critical Strike Chance with Lightning Skills for You and Your Minions,Suffix,0%,+(19% to 50%) | +(19% to 50%),,,,,-,-
Critical Strike Multiplier while Dual Wielding,Prefix,0%,+(12% to 30%),,,,,-,-
Critical Strike Multiplier while Transformed,Prefix,0%,+(12% to 33%),,,,,-,-
Critical Strike Multiplier With Rive And Judgement,Prefix,0%,+(17% to 45%) | +(17% to 45%),,,,,-,-
Damage Leeched as Health while Transformed,Prefix,0%,+(1% to 3%),,,,,-,-
Damage Over Time,Prefix,0%,+(22% to 60%),,,,,-,-
Damage Over Time For You And Your Minions,Suffix,0%,+(18% to 48%) | +(18% to 48%),,,,,-,-
Damage Over Time Taken,Suffix,0%,(4% to 9%),,,,,-,-
Damage Over Time Taken While Channelling,Suffix,0%,(6% to 16%),,,,,-,-
Damage Over Time Taken While Transformed,Prefix,0%,(5% to 12%),,,,,-,-
Damage Over Time while at Low Health,Prefix,0%,+(26% to 70%),,,,,-,-
Damage Over Time while Transformed,Prefix,0%,+(22% to 60%),,,,,-,-
Damage Reflected and Damage Dealt to Attackers,Suffix,0%,(5% to 15%) | (50 to 150),,,,,-,-
Damage Reflected For Skeletons And Skeletal Mages,Prefix,0%,+(7% to 18%) | +(7% to 18%),,,,,-,-
Damage Reflected For You And Your Minions,Suffix,0%,(10% to 35%) | (10% to 35%),,,,,-,-
Damage Reflected while you have Lightning Aegis,Prefix,50%,+(30% to 100%),,,,,-,-
Damage While Transformed,Prefix,0%,+(26% to 70%),,,,,-,-
Dodge Rating,Prefix,0%,+(26 to 70),,,,,-,-
