Name,Affix Type,Reroll %,Tier1,Tier2,Tier3,Tier4,Tier5,Tier6,Tier7
Abyssal Decay Duration,Prefix,0%,(12% to 24%),,,,,-,-
Added Block Effectiveness and Health Gained on Block,Suffix,0%,+(40 to 80) | (5 to 12),,,,,-,-
Added Bow Damage and Increased Bow Damage,Suffix,0%,+(2 to 5) | +(10% to 20%),,,,,-,-
Added Dodge rating if you have been hit recently and Critical Strike Avoidance,Suffix,65%,+(5 to 15) | +(1% to 2%),+(16 to 30) | +(3% to 4%),+(31 to 46) | +(5% to 6%),+(47 to 65) | +(7% to 8%),+(66 to 85) | +(9% to 10%),+(95 to 140) | +(12% to 15%),+(141 to 190) | +(16% to 20%)
Added Melee Damage and Increased Melee Damage,Suffix,0%,+(3 to 6) | +(10% to 20%),,,,,-,-
Added Spell Damage and Increased Spell Damage,Suffix,0%,+(2 to 4) | +(10% to 20%),,,,,-,-
Added Spell Damage while wielding a Staff Ward per second while wielding a Staff,Suffix,0%,+1 | (1 to 2),+1 | (3 to 4),+2 | (5 to 6),+2 | (7 to 8),+3 | (9 to 10),+4 | (12 to 15),+(5 to 6) | (16 to 20)
Added spell damage with a shield and Added spell damage with a 2h axe,Suffix,0%,+1+1,+1+2,+2+3,+2+4,+3+5,+4 | +(6 to 7),+5 | +(8 to 10)
Added Static Orb Tendrils,Prefix,0%,+(2 to 4),,,,,-,-
Added Stun Avoidance and Increased Stun Immunity Duration,Prefix,0%,+(78 to 100) | (5% to 10%),,,,,-,-
Added Throwing Damage and Increased Throwing Damage,Suffix,0%,+(1 to 3) | +(10% to 20%),,,,,-,-
Armor,Prefix,0%,+(58 to 156),,,,,-,-
Armor,Suffix,0%,+(15% to 35%),,,,,-,-
Armor and Increased Armor,Prefix,0%,+(28 to 40) | +(2% to 5%),,,,,-,-
Armor granted by Bone Armor,Prefix,0%,+(60 to 200),,,,,-,-
Armor while transformed and Rage Gained per Second While Transformed,Suffix,0%,+(1 to 3) | 1,+(4 to 6) | 1,+(7 to 10) | 1,+(11 to 15) | 1,+(16 to 20) | 1,+(30 to 34) | 2,+(35 to 40) | 3
Bees Per 10 Seconds,Prefix,90%,+(3 to 7),,,,,-,-
Black Arrows dropped by Dark Quiver and Increased Bow Damage,Prefix,0%,+2 | +(10% to 30%),,,,,-,-
Bleed Chance per Equipped Sword,Prefix,0%,+(13% to 35%),,,,,-,-
Bleed Duration For You And Your Minions,Prefix,0%,(7% to 25%) | (7% to 20%),,,,,-,-
Block Effectiveness,Suffix,0%,+(185 to 400),,,,,-,-
